Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cambodia,1.6,2.41,2.24,2.52,2.18,2.3,2.42,2.34,1.93,2.11,3,3.16,3.64,3.01,2.8,1.72,3.61,3.76,3.76,3.74,4.13,4.6,5.04,4.94,4.55,0.922
China,,,9.44,10.2,9.75,8.79,8.31,7.97,4.08,3.86,,,,,,,,,,,,,,,,
"Hong Kong, China",,,,7.23,7.37,5.99,6.16,6.02,5.01,4.93,4.43,4.17,4.04,4.01,4.27,3.81,3.66,3.56,3.48,3.55,3.85,4.07,3.96,3.89,,
Indonesia,,,,,,,,9.57,7.77,6.77,5.49,6.23,6.49,6.46,6.63,5.8,4.58,4.25,4.87,5.08,5.9,6.22,5.99,6.02,7.07,1.24
Japan,,10.6,9.71,9.83,10.5,9.38,8.51,8.63,8.13,8.97,7.98,5.66,5.18,4.46,5.39,4.96,4.1,4.04,3.37,2.89,2.88,3.37,3.08,3.03,3.19,0.841
Laos,5.08,4.07,3.81,4.86,3.43,,0.759,0.904,1.02,1.08,1.09,1.37,1.26,3.38,5.7,9.25,9.01,16.2,22.1,17.2,14.8,14.3,13.7,13.3,13.7,4.47
"Macao, China",,,,,,,,11.7,9.86,9.18,7.51,6.77,6.37,7.05,9.44,9.62,8.87,8.12,7.81,7.65,7.97,9.36,9.83,10.6,11.6,5.85
Malaysia,3.13,3.34,3.42,3.2,3.13,2.7,3.93,3.63,3.51,3.23,3.32,3.46,3.95,4.32,4.97,5.1,5.36,6.11,6.17,6.37,6.21,6.26,6.02,5.95,6.49,2.79
Mongolia,4.22,6.46,3.2,7.44,6.9,7,7.12,13.2,13.3,14.7,9.07,10.7,8.84,6.61,9.2,8.25,5.68,6.26,7.66,7.36,8.94,9.56,9.47,9.7,11.2,7.81
Myanmar,,,1.49,1.1,1.06,1.22,1.36,1.78,1.81,1.45,1.69,1.52,1.18,1.39,,,1.54,2.92,1.12,0.844,0.903,1.31,0.737,0.632,1.23,
Philippines,1.65,3.12,3.9,5.1,5.57,5.21,5.82,5.42,4.45,3.81,7.51,6.3,6.17,6.65,7.77,9.08,8.53,8.97,10.7,12.6,13.2,11.4,10.5,9.61,9.87,4.87
Singapore,3.23,3.27,2.82,2.59,3.06,2.68,4.42,5.36,4.92,4.31,4.03,3.84,4.11,4.05,4.83,4.54,4.36,4.55,4.61,4.81,5.08,5.42,4.94,4.55,,
South Korea,4.56,4.84,4.77,3.58,4.03,4.24,4.91,6.24,5.18,5.05,5.42,5.59,5.62,4.14,4.11,4.05,3.35,3.46,3.78,4.07,5.23,5.87,5.81,5.86,5.82,3.08
Thailand,5.83,5.67,5.18,4.63,5.09,4.49,4.82,5.27,4.16,4.98,3.71,4.2,4.23,3.29,3.71,3.45,2.95,2.96,3,3.46,4.15,5.09,5.12,5.08,5.49,1.59
Vietnam,,,,,,,,,,,2.29,2.2,1.85,1.56,1.51,1.68,1.57,1.59,1.49,1.74,2.11,2.47,2.28,2.41,2.47,1.62